Fold,TrainLoss,ValLoss,MAE,RMSE,R2
1,0.03125755390795195,0.07137349160018794,0.3191868603229523,0.5107168793678284,0.7276516675949096
2,0.03142307291582095,0.061201582233228816,0.27424149215221405,0.4208656072616577,0.7734107255935669
3,0.043104904514234675,0.07564616529271007,0.3547779083251953,0.6369774401187897,0.694356906414032
4,0.03357370532389763,0.07095866117241054,0.30569536089897154,0.468368923664093,0.7236494421958923
5,0.02931384049949393,0.07900922751889147,0.3529332399368286,0.6025904297828675,0.6286542654037476
