Fold,TrainLoss,ValLoss,MAE,RMSE,R2
1,0.04477022076232566,0.07630304819005623,0.3171882092952728,0.511747133731842,0.7268936395645141
2,0.044521785063876045,0.06577471548920139,0.29012230932712557,0.43503742218017577,0.7604834556579589
3,0.04360263446138965,0.08074756746033304,0.37306074798107147,0.657416969537735,0.6781893968582153
4,0.042675036895606255,0.07284501216194608,0.3115547806024551,0.4786200702190399,0.7165040016174317
5,0.04081646216412385,0.07944490440320551,0.3453423261642456,0.5956650733947754,0.6373256921768189
