Fold,TrainLoss,ValLoss,MAE,RMSE,R2
1,0.158711983056532,0.28233751955262404,0.35216096639633176,0.5341895043849945,0.6987849116325379
2,0.1477901330590248,0.2094651703445012,0.2966486394405365,0.4572636246681213,0.734292733669281
3,0.11386308249500063,0.33846616738459523,0.3627395540475845,0.6427531242370605,0.6912022590637207
4,0.2096383199095726,0.26436919026207506,0.33538908064365386,0.5010620713233948,0.6889007687568665
5,0.1619337783091598,0.28846887809534866,0.35176358222961424,0.5810209333896637,0.6560292959213256
