Fold,TrainLoss,ValLoss,MAE,RMSE,R2
1,0.11017160426411364,0.24544458741550906,0.32161554098129275,0.5085805058479309,0.7269266963005065
2,0.13176523725191752,0.20255241343718872,0.29057678282260896,0.4489868640899658,0.7417231559753418
3,0.1159295598251952,0.26362785175769476,0.36236482560634614,0.6438947141170501,0.6915643334388732
4,0.11909469049010012,0.18617790283864005,0.3203400582075119,0.48726593255996703,0.7006937742233277
5,0.12059892046782705,0.29774542411854654,0.3527459532022476,0.5940128922462463,0.6402665138244629
