Fold,TrainLoss,ValLoss,MAE,RMSE,R2
1,0.23739540914694468,0.2561733020763648,0.3238247662782669,0.5120506942272186,0.7274474501609802
2,0.23095157586865955,0.24339413420673003,0.28720408082008364,0.4571921586990356,0.732202410697937
3,0.23378627565171983,0.2643707977575168,0.35550220012664796,0.6383042633533478,0.6944488525390625
4,0.24226839303970338,0.2582932623070583,0.31007571816444396,0.4854286015033722,0.7098283886909484
5,0.23421947022279105,0.2624645311581461,0.346112123131752,0.606516420841217,0.6236547589302063
