Fold,TrainLoss,ValLoss,MAE,RMSE,R2
1,0.11041430926157368,0.2590936489419587,0.3273708999156952,0.606621778011322,0.6599961638450622
2,0.10002291473249594,0.3330878679428184,0.33110675811767576,0.5442663311958313,0.6566070914268494
3,0.22793822366330357,0.26673638729149834,0.3806725263595581,0.5668236255645752,0.6838684678077698
4,0.11212459252940284,0.14403448482615905,0.3057009756565094,0.45181151628494265,0.7785611271858215
5,0.11306912436253495,0.26087213738968495,0.3424931138753891,0.5356781363487244,0.7147849559783935
