trial,learning_rate,weight_decay,dropout,batch_size,val_loss,val_mae
0,0.00023688639503640813,7.969454818643937e-05,0.2,64,0.08653667623755233,0.32811851501464845
1,0.0005395030966670229,1.575132049977973e-05,0.2,64,0.08752583288427057,0.31857076585292815
2,0.0001432249371823026,2.0511104188433975e-06,0.2,64,0.08926700445791257,0.32342653870582583
3,0.00011430983876313228,5.39948440978744e-05,0.2,64,0.08835653002084844,0.33063613772392275
4,0.0003991305878561678,2.6070247583707675e-05,0.2,64,0.08819645359020295,0.3234430938959122
5,0.00010485387725194633,8.706020878304853e-05,0.2,64,0.08883601369272018,0.32738516926765443
6,0.0006798962421591129,2.6587543983272713e-06,0.2,64,0.08944971987913394,0.3201346188783646
7,0.0001519934830130982,2.3270677083837795e-06,0.2,64,0.0891411823445353,0.33038987815380094
8,0.0002014847788415866,1.120760621186056e-05,0.2,64,0.08865842671165693,0.32473712861537934
9,0.0002703616066662003,3.823475224675187e-06,0.2,64,0.1105096900257571,0.35874688625335693
10,0.0008944014680985646,1.0280029617905617e-06,0.2,64,0.09142433139013834,0.32462210655212403
11,0.00038584762367056,1.603638650872079e-05,0.2,64,0.13532333750406217,0.4041036069393158
12,0.0005190026940471794,3.7503786502829176e-05,0.2,64,0.09023273061832478,0.3278024822473526
13,0.00026469840539598203,7.169876434157977e-06,0.2,64,0.08817203827844612,0.32416729629039764
14,0.0003528240989294184,9.563292939403117e-05,0.2,64,0.08836357407914154,0.3273912161588669
