Fold,TrainLoss,ValLoss,MAE,RMSE,R2
1,0.1759663856195079,0.2398895182761184,0.34592780470848083,0.5338179111480713,0.7016451001167298
2,0.17564502954483033,0.2052432812031424,0.31047784984111787,0.4553773820400238,0.7352309703826905
3,0.17985059739814865,0.30236751787168414,0.3767222255468369,0.6712417423725128,0.6582107663154602
4,0.18185857620504167,0.20596035517621458,0.3198025584220886,0.49073897004127504,0.703659462928772
5,0.1747985821796788,0.3133730947840632,0.35846630334854124,0.6049591898918152,0.6280598402023315
