Fold,TrainLoss,ValLoss,MAE,RMSE,R2
1,0.10798656639125612,0.2577910423932368,0.3362803727388382,0.5266410529613494,0.7119295239448548
2,0.13712045624852182,0.21027459719692143,0.30505008101463316,0.46455740332603457,0.7224003195762634
3,0.14649951578842269,0.276989358403769,0.37483817934989927,0.6595208644866943,0.67773277759552
4,0.11318122073180145,0.20419160770088957,0.3137468069791794,0.4826659560203552,0.700727391242981
5,0.1211204200817479,0.29820921360269975,0.36025646328926086,0.605554175376892,0.6242239952087403
