Fold,TrainLoss,ValLoss,MAE,RMSE,R2
1,0.029489377587704004,0.07234479162585118,0.316473525762558,0.510226434469223,0.7254230260849
2,0.030091154273698288,0.06121216567056575,0.2754415422677994,0.4208602249622345,0.7716296076774597
3,0.029780766605275923,0.07503527267996607,0.3467866986989975,0.6265608310699463,0.7036836743354797
4,0.03186208528128609,0.06797062592773602,0.2967915117740631,0.4581915318965912,0.7316370964050293
5,0.030148448167055582,0.07510352471907591,0.3383695900440216,0.5855411648750305,0.6498868346214295
